"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Functional Analysis of Family GH36 α-Galactosidases from Ruminococcus gnavus E1: Insights into the Metabolism of a Plant Oligosaccharide by a Human Gut Symbiont","https://scispace.com/paper/functional-analysis-of-family-gh36-a-galactosidases-from-258pnuiwmf","2012","Journal Article","Applied and Environmental Microbiology","M. Cervera-Tison
Louise E. Tailford
Christine Fuell
Laetitia Bruel
Gerlind Sulzenbacher
Bernard Henrissat
Jean-Guy Berrin
Michel Fons
Thierry Giardina
Nathalie Juge","10.1128/AEM.01350-12","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on GH36 α‑galactosidases for plant oligosaccharides; no mucin experiments, controls, or comparisons, making it irrelevant to all listed criteria.","Ruminococcus gnavus belongs to the 57 most common species present in 90% of individuals. Previously, we identified an α-galactosidase (Aga1) belonging to glycoside hydrolase (GH) family 36 from R. gnavus E1 (M. Aguilera, H. Rakotoarivonina, A. Brutus, T. Giardina, G. Simon, and M. Fons, Res. Microbiol. 163:14–21, 2012). Here, we identified a novel GH36-encoding gene from the same strain and termed it aga2. Although aga1 showed a very simple genetic organization, aga2 is part of an operon of unique structure, including genes putatively encoding a regulator, a GH13, two phosphotransferase system (PTS) sequences, and a GH32, probably involved in extracellular and intracellular sucrose assimilation. The 727-amino-acid (aa) deduced Aga2 protein shares approximately 45% identity with Aga1. Both Aga1 and Aga2 expressed in Escherichia coli showed strict specificity for α-linked galactose. Both enzymes were active on natural substrates such as melibiose, raffinose, and stachyose. Aga1 and Aga2 occurred as homotetramers in solution, as shown by analytical ultracentrifugation. Modeling of Aga1 and Aga2 identified key amino acids which may be involved in substrate specificity and stabilization of the α-linked galactoside substrates within the active site. Furthermore, Aga1 and Aga2 were both able to perform transglycosylation reactions with α-(1,6) regioselectivity, leading to the formation of product structures up to [Hex]12 and [Hex]8, respectively. We suggest that Aga1 and Aga2 play essential roles in the metabolism of dietary oligosaccharides and could be used for the design of galacto-oligosaccharide (GOS) prebiotics, known to selectively modulate the beneficial gut microbiota."
"Dysbiosis-associated gut bacterium ","https://scispace.com/paper/40642981","2025","Journal Article","Microbiology spectrum","Sokolovskaya
Uzunovic
Peng
Okumura
Wang
Zhou
Lai
Skippington
Tan","10.1128/spectrum.03090-24","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12323340/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper focuses on a dysbiosis‑associated gut bacterium, without mentioning Ruminococcus gnavus, mucin‑based growth assays, or related metabolic analyses.",""
"Interindividual Diversity of Human Gut Mucin-Degrading Microbial Consortia","https://scispace.com/paper/interindividual-diversity-of-human-gut-mucin-degrading-ug2reho2","2023","Posted Content","bioRxiv","Ashwana D. Fricker
Tianming Yao
Stephen R. Lindemann
Gilberto E. Flores","10.1101/2023.05.13.540604","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Studies mucin-degrading communities from donors; no R. gnavus focus, no specific in‑vitro growth assays, metabolic or carbon‑source comparisons for that species.","Mucin is a glycoprotein secreted throughout the mammalian gastrointestinal tract that can support endogenous microorganisms in the absence of complex polysaccharides. While diverse mucin degrading bacteria have been identified, the individual host microbial community differences capable of metabolizing this complex polymer are not well described. To determine whether individuals have taxonomically distinct but functionally similar mucin-degrading communities, we used a ten-day in vitro sequential batch culture fermentation from three human donors with mucin as the sole carbon source. For each donor, 16S rRNA gene amplicon sequencing was used to characterize microbial community succession, and the short-chain fatty acid profile was determined from the final community. Although two of the final communities had genus-level taxonomic differences signified by the presence of Desulfovibrio and Akkermansia, other members, such as Bacteroides, were shared between all three final communities. Metabolic output differences were most notable for one of the donor’s communities, with significantly less production of acetate and propionate than the other two communities. These findings reinforce the concept of a taxonomically distinct and, at broad levels, a functionally redundant gut microbiome. Furthermore, the mechanisms and efficiencies of mucin degradation across individuals are important for understanding how this community-level process impacts human health."
"Ruminococcus gnavus ameliorates atopic dermatitis by enhancing Treg cell and metabolites in BALB/c mice.","https://scispace.com/paper/34633714","2022","Journal Article","Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology","Ahn
Lee
Kim
Nam
Ahn
Park
Jeong
Park
Song
Lee
Hong","10.1111/pai.13678","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on oral R. gnavus treatment for atopic dermatitis in mice; no mucin‑utilization experiments, growth assays, or metabolic analyses of mucin catabolism are presented.","Ruminococcus gnavus (R. gnavus) are mucin-degrading gut bacteria that play a key role in the early colonization of the gut by serving as endogenous sources of nutrients. They can also influence immune development. We had previously reported a lower abundance of R. gnavus in infants with atopic dermatitis (AD) compared with that in healthy subjects. However, the underlying mechanisms remain unclear. In this study, we investigated the effect of orally administered R. gnavus on antibiotic treatment-induced gut dysbiosis (and the underlying mechanism) in a mouse model of AD."
"Phenotypic and Genomic Diversification in Complex Carbohydrate-Degrading Human Gut Bacteria","https://scispace.com/paper/phenotypic-and-genomic-diversification-in-complex-cuzzzerd","2022","Journal Article","MSystems","Nicholas A. Pudlo
Karthik Urs
Ryan D. Crawford
Ali A. Pirani
Todd Atherly
Roberto Hurtado Jiménez
Nicolas Terrapon
Bernard Henrissat
Daniel G. Peterson
Cherie J. Ziemer
Evan S. Snitkin
Eric C. Martens","10.1128/msystems.00947-21","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Bacteroidetes carbohydrate utilization, no Ruminococcus gnavus or mucin-specific assays.","Nonharmful bacteria are the primary microbial symbionts that inhabit the human gastrointestinal tract. These bacteria play many beneficial roles and in some cases can modify disease states, making it important to understand which nutrients sustain specific lineages. ABSTRACT Symbiotic bacteria are responsible for the majority of complex carbohydrate digestion in the human colon. Since the identities and amounts of dietary polysaccharides directly impact the gut microbiota, determining which microorganisms consume specific nutrients is central for defining the relationship between diet and gut microbial ecology. Using a custom phenotyping array, we determined carbohydrate utilization profiles for 354 members of the Bacteroidetes, a dominant saccharolytic phylum. There was wide variation in the numbers and types of substrates degraded by individual bacteria, but phenotype-based clustering grouped members of the same species indicating that each species performs characteristic roles. The ability to utilize dietary polysaccharides and endogenous mucin glycans was negatively correlated, suggesting exclusion between these niches. By analyzing related Bacteroides ovatus/Bacteroides xylanisolvens strains that vary in their ability to utilize mucin glycans, we addressed whether gene clusters that confer this complex, multilocus trait are being gained or lost in individual strains. Pangenome reconstruction of these strains revealed a remarkably mosaic architecture in which genes involved in polysaccharide metabolism are highly variable and bioinformatics data provide evidence of interspecies gene transfer that might explain this genomic heterogeneity. Global transcriptomic analyses suggest that the ability to utilize mucin has been lost in some lineages of B. ovatus and B. xylanisolvens, which harbor residual gene clusters that are involved in mucin utilization by strains that still actively express this phenotype. Our data provide insight into the breadth and complexity of carbohydrate metabolism in the microbiome and the underlying genomic events that shape these behaviors. IMPORTANCE Nonharmful bacteria are the primary microbial symbionts that inhabit the human gastrointestinal tract. These bacteria play many beneficial roles and in some cases can modify disease states, making it important to understand which nutrients sustain specific lineages. This knowledge will in turn lead to strategies to intentionally manipulate the gut microbial ecosystem. We designed a scalable, high-throughput platform for measuring the ability of gut bacteria to utilize polysaccharides, of which many are derived from dietary fiber sources that can be manipulated easily. Our results provide paths to expand phenotypic surveys of more diverse gut bacteria to understand their functions and also to leverage dietary fibers to alter the physiology of the gut microbial community."
"Multifrequency-STD NMR unveils the first Michaelis complex of an intramolecular trans-sialidase from Ruminococcus gnavus.","https://scispace.com/paper/39515130","2024","Journal Article","Bioorganic chemistry","Monaco
Tailford
Bell
Wallace
Juge
Angulo","10.1016/j.bioorg.2024.107906","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on structural NMR analysis of a trans‑sialidase, without growth experiments, metabolic profiling, or comparative carbon source tests.","RgNanH is an intramolecular trans-sialidase expressed by the human gut symbiont Ruminococcus gnavus, to utilise intestinal sialylated mucin glycan epitopes. Its catalytic domain, belonging to glycoside hydrolase GH33 family, cleaves off terminal sialic acid residues from mucins, releasing 2,7-anhydro-Neu5Ac which is then used as metabolic substrate by R. gnavus to proliferate in the mucosal environment. RgNanH is one of the three intramolecular trans-sialidases (IT-sialidases) characterised to date, and the first from a gut commensal organism. Here, saturation transfer difference NMR (STD NMR) in combination with computational techniques (molecular docking and CORCEMA-ST) were used to elucidate the specificity, kinetics and relative affinity of RgNanH for sialoglycans and 2,7-anhydro-Neu5Ac. We propose the first 3D model for the Michaelis complex of an IT-sialidase. This confirms the sialic acid to be the main recognition element for the interaction in the enzymatic cleft and highlights the crucial role of Trp698 to make CH-π stacking with the galactose residue of the substrate 3'-sialyllactose. The same contact is shown not to be possible for 6'-sialyllactose, due to geometrical constrains of the α-2,6 linkage. Indeed 6'-sialyllactose is not a substrate, even though it is shown to bind to RgNanH by STD NMR. These findings corroborate the role of Trp698 for the α-2,3 specificity of IT-sialidases. In this structural study, the use of Differential Epitope Mapping STD NMR (DEEP-STD NMR) approach allowed the validation of the proposed 3D models in solution. These structural approaches are shown to be instrumental in shedding light on the molecular mechanisms underpinning enzymatic reactions in the absence of enzyme-substrate X-ray structures."
"Discovery of intramolecular trans-sialidases in human gut microbiota suggests novel mechanisms of mucosal adaptation.","https://scispace.com/paper/discovery-of-intramolecular-trans-sialidases-in-human-gut-4kenbg932e","2015","Journal Article","Nature Communications","Louise E. Tailford
C. David Owen
John Walshaw
Emmanuelle H. Crost
Jemma Hardy-Goddard
Gwénaëlle Le Gall
Willem M. de Vos
Garry L. Taylor
Nathalie Juge","10.1038/NCOMMS8624","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on enzymatic discovery (intramolecular trans‑sialidase) and its prevalence in IBD, without culturing R. gnavus on mucin or measuring growth/metabolism.","The gastrointestinal mucus layer is colonized by a dense community of microbes catabolizing dietary and host carbohydrates during their expansion in the gut. Alterations in mucosal carbohydrate availability impact on the composition of microbial species. Ruminococcus gnavus is a commensal anaerobe present in the gastrointestinal tract of >90% of humans and overrepresented in inflammatory bowel diseases (IBD). Using a combination of genomics, enzymology and crystallography, we show that the mucin-degrader R. gnavus ATCC 29149 strain produces an intramolecular trans-sialidase (IT-sialidase) that cleaves off terminal α2-3-linked sialic acid from glycoproteins, releasing 2,7-anhydro-Neu5Ac instead of sialic acid. Evidence of IT-sialidases in human metagenomes indicates that this enzyme occurs in healthy subjects but is more prevalent in IBD metagenomes. Our results uncover a previously unrecognized enzymatic activity in the gut microbiota, which may contribute to the adaptation of intestinal bacteria to the mucosal environment in health and disease."
"Deciphering the impact of Ruminococcus gnavus cell surface glycosylation at the mucosal interface","https://scispace.com/paper/P8uSDuXcOMsJ","","","","V Laplanche","","https://ueaeprints.uea.ac.uk/id/eprint/94369/1/2024LaplancheVPhD.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on cell surface glycosylation effects rather than mucin‑based growth or metabolism assays.",""
"Identification of mucin degraders of the human gut microbiota","https://scispace.com/paper/identification-of-mucin-degraders-of-the-human-gut-2p579dwmmf","2021","Journal Article","Scientific Reports","Stefano Raimondi
Eliana Musmeci
Francesco Candeliere
Alberto Amaretti
Maddalena Rossi","10.1038/S41598-021-90553-4","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Does not involve R. gnavus; focuses on other gut bacteria and community-level mucin degradation, lacking targeted assays, metabolic profiling, or controls for R. gnavus.","Mucins are large glycoproteins consisting of approximately 80% of hetero-oligosaccharides. Gut mucin degraders of healthy subjects were investigated, through a culture dependent and independent approach. The faeces of five healthy adults were subjected to three steps of anaerobic enrichment in a medium with sole mucins as carbon and nitrogen sources. The bacterial community was compared before and after the enrichment by 16S rRNA gene profiling. Bacteria capable of fermenting sugars, such as Anaerotruncus, Holdemania, and Enterococcaceae likely took advantage of the carbohydrate chains. Escherichia coli and Enterobacteriaceae, Peptococcales, the Coriobacteriale Eggerthella, and a variety of Clostridia such as Oscillospiraceae, Anaerotruncus, and Lachnoclostridium, significantly increased and likely participated to the degradation of the protein backbone of mucin. The affinity of E. coli and Enterobacteriaceae for mucin may facilitate the access to the gut mucosa, promoting gut barrier damage and triggering systemic inflammatory responses. Only three species of strict anaerobes able to grow on mucin were isolated from the enrichments of five different microbiota: Clostridium disporicum, Clostridium tertium, and Paraclostridium benzoelyticum. The limited number of species isolated confirms that in the gut the degradation of these glycoproteins results from cooperation and cross-feeding among several species exhibiting different metabolic capabilities."
"Mucin degradation in human colon ecosystems. Isolation and properties of fecal strains that degrade ABH blood group antigens and oligosaccharides from mucin glycoproteins.","https://scispace.com/paper/mucin-degradation-in-human-colon-ecosystems-isolation-and-509b6o4qfd","1985","Journal Article","Journal of Clinical Investigation","L C Hoskins
M Agustines
W B McKee
E T Boulding
M. S. Kriaris
G Niedermeyer","10.1172/JCI111795","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Studies Ruminococcus torques and Bifidobacterium, not R. gnavus; no direct mucin growth assays, metabolic profiling, or controls relevant to R. gnavus.","We previously reported that the oligosaccharide chains of hog gastric mucin were degraded by unidentified subpopulations numbering approximately 1% of normal human fecal bacteria. Here we report on the enzyme-producing properties of five strains of mucin oligosaccharide chain-degrading bacteria isolated from feces of four healthy subjects. Four were isolated from the greatest fecal dilutions yielding mucin side chain-degrading activity in culture, and thus were the numerically dominant side chain-degrading bacteria in their respective hosts. Three were Ruminococcus strains and two were Bifidobacterium strains. Two Ruminococcus torques strains, IX-70 and VIII-239, produced blood group A- and H-degrading alpha-glycosidase activities, sialidase, and the requisite beta-glycosidases; these strains released greater than 90% of the anthrone-reacting hexoses from hog gastric mucin during growth in culture. The Bifidobacterium strains lacked A-degrading activity but were otherwise similar; these released 60-80% of the anthrone-reacting hexoses but not the A antigenic structures from hog gastric mucin. Only Ruminococcus AB strain VI-268 produced blood group B-degrading alpha-galactosidase activity, but this strain lacked beta-N-acetylhexosaminidases to complete degradation of B antigenic chains. When this strain was co-cultured with a strain that produced beta-N-acetylhexosaminidases, release of hexoses from blood group B salivary glycoprotein increased from 50 to greater than 90%, and bacterial growth was enhanced. The glycosidases required for side chain degradation were produced by these strains in the absence of mucin substrate, and a substantial fraction of each activity in stationary phase cultures was extracellular. In contrast, none of 16 other fecal Bacteroides, Escherichia coli, Streptococcus faecalis, and Bifidobacterium strains produced ABH blood group-degrading enzymes; other glycosidases produced by these strains were predominantly cell bound except for extracellular beta-N-acetylhexosaminidases produced by the five S. faecalis strains. We conclude that certain Bifidobacterium and Ruminococcus strains are numerically dominant populations degrading mucin oligosaccharides in the human colon due to their constitutive production of the requisite extracellular glycosidases including blood group antigen-specific alpha-glycosidases. These properties characterize them as a functionally distinct subpopulation of normal human enteric microflora comprised of specialized subsets that produce blood group H antigen-degrading glycosidases alone or together with either blood group A- or B-degrading glycosidases."
"A comparative evaluation of models of whole rumen function","https://scispace.com/paper/a-comparative-evaluation-of-models-of-whole-rumen-function-124xke1kse","1996","Journal Article","Annales De Zootechnie","Jan Dijkstra","10.1051/ANIMRES:19960638","https://scispace.com/pdf/a-comparative-evaluation-of-models-of-whole-rumen-function-124xke1kse.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper focuses on rumen microbial metabolism and model equations, without any experiments on Ruminococcus gnavus, mucin, or related gut‑microbe assays.","A review is presented on the representation of various rumen fermentation aspects in whole rumen function models in relation to current knowledge on these processes, and areas in need of improved representation are highlighted. The importance of adequately stating the objective of the model in relation to the level of representation of rumen processes is stressed. No model yet exists which can accurately simulate rumen metabolism in all circumstances. A number of issues related to rumen modelling require further research. The sound representation of rumen microbial metabolism is essential. Aspects of microbial metabolism which deserve further attention include microbial distribution within the rumen, microbial interactions, and chemical composition of microbial matter. The representation of outflow from the rumen requires a more mechanistic approach, which should adequately cover continuous as well as discontinuous feeding regimes. Finally, the representation of VFA production is identified as being inadequate, and future attempts to improve prediction of VFA profile should include provisions for the effect of amount and rate of substrate degradation and microbial species preferences on type of VFA produced."
"Mucin glycans and their degradation by gut microbiota","https://scispace.com/paper/mucin-glycans-and-their-degradation-by-gut-microbiota-26whnmgi","2023","Journal Article","Glycoconjugate Journal","Kenji Yamamoto","10.1007/s10719-023-10124-9","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews general mucin‑glycan degradation by gut microbes; does not focus on R. gnavus, specific assays, or detailed metabolic/experimental data.",""
"Candida tropicalis Infection Modulates the Gut Microbiome and Confers Enhanced Susceptibility to Colitis in Mice.","https://scispace.com/paper/34890843","2022","Journal Article","Cellular and molecular gastroenterology and hepatology","Di Martino
De Salvo
Buela
Hager
Ghannoum
Osme
Buttò
Bamias
Pizarro
Cominelli","10.1016/j.jcmgh.2021.11.008","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8804274/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Candida tropicalis effects on mouse colitis and microbiome; no R. gnavus or mucin utilization experiments.","We previously showed that abundance of Candida tropicalis is significantly greater in Crohn's disease patients compared with first-degree relatives without Crohn's disease. The aim of this study was to determine the effects and mechanisms of action of C tropicalis infection on intestinal inflammation and injury in mice."
"Infant Gut Microbial Metagenome Mining of α-l-Fucosidases with Activity on Fucosylated Human Milk Oligosaccharides and Glycoconjugates.","https://scispace.com/paper/35943155","2022","Journal Article","Microbiology spectrum","Moya-Gonzálvez
Peña-Gil
Rubio-Del-Campo
Coll-Marqués
Gozalbo-Rovira
Monedero
Rodríguez-Díaz
Yebra","10.1128/spectrum.01775-22","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9430343/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on α‑l‑fucosidase gene mining and enzyme activity on fucosylated HMOs; no mucin growth assays, metabolic profiling, or R. gnavus culture experiments.","The gastrointestinal microbiota members produce α-l-fucosidases that play key roles in mucosal, human milk, and dietary oligosaccharide assimilation. Here, 36 open reading frames (ORFs) coding for putative α-l-fucosidases belonging to glycosyl hydrolase family 29 (GH29) were identified through metagenome analysis of breast-fed infant fecal microbiome. Twenty-two of those ORFs showed a complete coding sequence with deduced amino acid sequences displaying the highest degree of identity with α-l-fucosidases from Bacteroides thetaiotaomicron, Bacteroides caccae, Phocaeicola vulgatus, Phocaeicola dorei, Ruminococcus gnavus, and Streptococcus parasanguinis. Based on sequence homology, 10 α-l-fucosidase genes were selected for substrate specificity characterization. The α-l-fucosidases Fuc18, Fuc19A, Fuc35B, Fuc39, and Fuc1584 showed hydrolytic activity on α1,3/4-linked fucose present in Lewis blood antigens and the human milk oligosaccharide (HMO) 3-fucosyllactose. In addition, Fuc1584 also hydrolyzed fucosyl-α-1,6-"
"Unravelling the specificity and mechanism of sialic acid recognition by the gut symbiont Ruminococcus gnavus.","https://scispace.com/paper/unravelling-the-specificity-and-mechanism-of-sialic-acid-3h042d60o0","2017","Journal Article","Nature Communications","C. David Owen
Louise E. Tailford
Serena Monaco
Tanja Šuligoj
Laura Vaux
Romane Lallement
Zahra Khedri
Hai Yu
Karine Lecointe
John Walshaw
John Walshaw
Sandra Tribolo
Marc Horrex
Andrew Bell
Xi Chen
Garry L. Taylor
Ajit Varki
Jesús Angulo
Nathalie Juge","10.1038/S41467-017-02109-8","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on CBM40 binding to sialylated mucins and structural analysis, without growth, metabolic or comparative assays of R. gnavus on mucin.","Ruminococcus gnavus is a human gut symbiont wherein the ability to degrade mucins is mediated by an intramolecular trans-sialidase (RgNanH). RgNanH comprises a GH33 catalytic domain and a sialic acid-binding carbohydrate-binding module (CBM40). Here we used glycan arrays, STD NMR, X-ray crystallography, mutagenesis and binding assays to determine the structure and function of RgNanH_CBM40 (RgCBM40). RgCBM40 displays the canonical CBM40 β-sandwich fold and broad specificity towards sialoglycans with millimolar binding affinity towards α2,3- or α2,6-sialyllactose. RgCBM40 binds to mucus produced by goblet cells and to purified mucins, providing direct evidence for a CBM40 as a novel bacterial mucus adhesin. Bioinformatics data show that RgCBM40 canonical type domains are widespread among Firmicutes. Furthermore, binding of R. gnavus ATCC 29149 to intestinal mucus is sialic acid mediated. Together, this study reveals novel features of CBMs which may contribute to the biogeography of symbiotic bacteria in the gut."
"Microbe Profile: ","https://scispace.com/paper/37622435","2023","Journal Article","Microbiology (Reading, England)","Juge","10.1099/mic.0.001383","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10482369/pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Microbe Profile provides a descriptive overview without experimental data on R. gnavus mucin utilization, growth assays, metabolic analysis, or controls.",""
"Parâmetros da degradação protéica ruminal de diferentes alimentos e rações estimados por técnica in vitro (Parameters of ruminal protein degradation of different feeds and diets estimated by an in vitro method)","https://scispace.com/paper/parametros-da-degradacao-proteica-ruminal-de-diferentes-3cyyrmcahk","2007","","","Rogério de Paula Lana
W.M. Leopoldino
Juliana Silva de Oliveira
R. G. Veloso
P. M. M. Nunes
Augusto César de Queiroz","","https://scispace.com/pdf/parametros-da-degradacao-proteica-ruminal-de-diferentes-3cyyrmcahk.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper focuses on ruminal protein degradation of feeds using in‑vitro techniques; it does not involve Ruminococcus gnavus, mucin, or related gut‑microbe assays.","Three experiments were carried out in order to study the parameters of ruminal protein degradation In the first, isoproteic diets, constituted of elephant grass, ground corn and soybean meal, at five concentrate levels (0:100, 25:75, 50:50, 75:25 e 100:0), with or without monensin (5µM), were incubated in ruminal fluid of bovines There was a decreasing linear effect of the concentrate level on ammonia concentration and degradability of crude protein, and cubic effect in soluble protein concentration, with"
"Host immunostimulation and substrate utilization of the gut symbiont Akkermansia muciniphila","https://scispace.com/paper/host-immunostimulation-and-substrate-utilization-of-the-gut-2dz515smu2","2015","","","Noora Ottman","","https://scispace.com/pdf/host-immunostimulation-and-substrate-utilization-of-the-gut-2dz515smu2.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Akkermansia muciniphila, not Ruminococcus gnavus; no direct experiments, assays, or controls relevant to R. gnavus mucin utilization.","Host immunostimulation and substrate utilization of the gut symbiont Akkermansia muciniphila Noora A. Ottman The human gastrointestinal tract is colonized by a complex community of micro-organisms, the gut microbiota. The majority of these are bacteria, which perform various functions involved in host energy metabolism and immune system stimulation. The field of gut microbiology is continuously expanding as novel species are isolated and high-throughput techniques are developed. The research focus is shifting from DNA-based techniques, looking at microbial community composition, to techniques relying on analysis of RNA and proteins, which reveal more about the activity and functionality of the microbiota. The mucosa-associated microbiota forms a distinct population in the gut, and is influenced by the close proximity of the epithelial layer and nutrients present in the mucus layer. One of the key players in this community is the mucus degrader Akkermansia muciniphila. This Gram-negative, anaerobic bacterium can use mucin, the main component of mucus, as the sole carbon and nitrogen source for growth. A. muciniphila belongs to the phylum Verrucomicrobia and is present in the majority of humans, starting from early life. Interestingly, the levels of A. muciniphila are negatively correlated with several disorders, including inflammatory bowel diseases and diabetes. A. muciniphila lives in a symbiosis with its host, harvesting energy from mucin; whether the relationship is mutualistic, and thereby also beneficial to the host, remains to be discovered. In this thesis, the ability of A. muciniphila to utilize the host-derived glycans mucin and human milk oligosaccharides was studied in detail. In addition, the host-bacterial interactions were examined by immunological assays, focusing especially on the effect of A. muciniphila outer membrane proteins on host immune response. The genome of A. muciniphila encodes numerous enzymes involved in mucin degradation. Transcriptome analysis comparing the gene expression of A. muciniphila grown on mucin or the non-mucin sugar glucose confirmed the activity of these genes and revealed most of them to be upregulated in the presence of mucin. This was also confirmed by a proteome analysis, reinforcing the adaptation of A. muciniphila to the mucosal environment. A genome-based metabolic model was constructed to test amino acid auxotrophy, vitamin biosynthesis, and sugar-degrading capacities of A. muciniphila. The model predicted A. muciniphila to be able to synthesize all the essential amino acids, with the exception of threonine, which was added to the mucin-free medium designed to test A. muciniphila growth on single sugars. A. muciniphila was able to individually metabolize all the main monomeric sugars present in mucin, albeit with limited efficiency in comparison to mucin. As mucin shares structural similarities with human milk oligosaccharides (HMOs), which stimulate the bacterial community colonizing the gut in early life, growth of A. muciniphila on human milk and its components was tested. A. muciniphila showed metabolic activity on human milk and one of the HMOs, 2’-fucosyllactose. Comparison of A. muciniphila activity during growth on human milk or mucin revealed that the expression of genes involved in mucin degradation was similar for both experimental conditions, suggesting that A. muciniphila might be capable of also using the corresponding gene products for utilization of human milk glycans. The capacity to survive in the early life environment by degrading and consuming human milk components would be beneficial for A. muciniphila during initial colonization before reaching the mucosal layer in the intestine. Several mouse studies have indicated that A. muciniphila is able to modulate the host immune system, possibly to the benefit of the host, but not much is known about its immunological mechanism of action. The cell envelope structures of bacteria can have a big influence on their immunostimulatory capacities, and therefore the outer membrane (OM) proteome of A. muciniphila was characterized. The membrane structure of A. muciniphila is also of interest because it belongs to the Planctomycetes-Verrucomicrobia-Chlamydiae superphylum, which contains bacteria with features that differentiate them from classical Gram-negative bacteria, including a complex endomembrane system. Mass spectrometry data, coupled with bioinformatics analysis, revealed the presence of highly abundant OM proteins involved in secretion, transport and biogenesis of the Gram-negative membranes, as well as proteins predicted to take part in formation of the fimbriae-like structures observed in A. muciniphila by electron microscopy. Live A. muciniphila and the identified OM proteins induced production of a wide range of cytokines and activated the intestinal Toll-like receptors 2 and 4. Moreover, a 30 kDa protein that was predicted to form a part of the fimbriae, increased transepithelial resistance, indicating it may be involved in improving gut barrier function. Based on the evidence from in vitro and in vivo studies, A. muciniphila is a promising candidate for a next-generation probiotic. However, further confirmation of causal relationships between disease development and presence of this species in the gut is required. The findings of this thesis provide valuable insight into the bacterial lifestyle and host interactions of the gut symbiont A. muciniphila."
"The role of Akkermansia muciniphila sulfatases in colonic mucin utilisation","https://scispace.com/paper/the-role-of-akkermansia-muciniphila-sulfatases-in-colonic-gh271e5wyf24","2025","Journal Article","","Debajit Dey
Nadia Ahmed Salman
Charles W.E. Tomlinson
Chunsheng Jin
Great Raba
Sadie R. Schaus
Martin Nilsson
Zak McIver
Adam J. Simpkin
Matthew Davy
Daniel J. Rigden
Mirjam Czjzek
Dominic P. Byrne
Mihali Oltean
Anne Case
Christoph G. Baumann
Gareth S. A. Wright
Sjoerd van der Post
Edwin A. Yates
Eric C. Martens
Lauren Davey
Ana S. Luís
Alan Cartmell","10.1101/2025.09.11.675649","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Akkermansia muciniphila sulfatases, not Ruminococcus gnavus, and does not address any of the specified R. gnavus mucin utilization criteria.","Akkermansia muciniphila, an obligate mucin degrader, is a major member of the human colonic microbiota and has been associated positive health outcomes. Mucins are complex glycoproteins that contain heavily sulfated O-glycans and form the protective colonic mucus layer. Bacterial carbohydrate sulfatases are required to metabolise these heavily sulfated mucin glycans and excessive bacterial foraging has been associated with several diseases. Sulfatases have been linked with inflammatory bowel disease, making these microbiota enzymes potential drug targets. A. muciniphila expresses carbohydrate sulfatases that can act on colonic mucins yet their roles in its metabolism remain opaque. Our data reveal that A. muciniphila requires glycopeptides/protein forms of colonic mucin for metabolism and its sulfatases have unique adaptations compared to Bacteroides species. Localisation studies reveal that desulfation of N-acetyl-D-glucosamine, but not D-galactose, is exclusively periplasmic. A cell surface sulfatase has a novel carbohydrate binding module that binds to colonic mucin. This paints a contrasting picture of sulfated mucin metabolism by Akkermansia muciniphila versus Bacteroides species. These data will be important for understanding the contexts for Akkermansia muciniphilas positive health correlations. "
